Tipo;Conjunto;Threads;Tempo Médio (μs);Desvio Padrão;Speedup;Eficiência
Sequencial;1;1;6763,75;39,26;;
Sequencial;2;1;6635,78;243,35;;
Paralelo;1;2;3975,96;21,35;1,70;85,06
Paralelo;1;4;2154,69;43,73;3,14;78,48
Paralelo;1;8;1707,17;69,90;3,96;49,52
Paralelo;2;2;3798,58;36,16;1,75;87,35
Paralelo;2;4;2049,96;18,55;3,24;80,93
Paralelo;2;8;1530,77;33,47;4,33;54,19
Paralelo Virtual;1;2;4,00;0,00;1690,94;84546,88
Paralelo Virtual;1;4;8,00;0,00;845,47;21136,72
Paralelo Virtual;1;8;14,59;0,59;463,56;5794,49
Paralelo Virtual;2;2;3,67;0,48;1809,76;90487,88
Paralelo Virtual;2;4;7,50;0,60;884,77;22119,26
Paralelo Virtual;2;8;14,54;0,59;456,33;5704,11
