Tipo;Conjunto;Threads;Tempo Médio (μs);Desvio Padrão;Speedup;Eficiência
Sequencial;1;1;702,62;23,30;;
Sequencial;2;1;660,75;6,79;;
Paralelo;1;2;404,48;7,22;1,74;86,85
Paralelo;1;4;226,17;12,39;3,11;77,67
Paralelo;1;8;205,81;36,05;3,41;42,67
Paralelo;1;16;188,67;11,85;3,72;23,28
Paralelo;1;32;232,81;22,07;3,02;9,43
Paralelo;1;64;369,19;70,89;1,90;2,97
Paralelo;2;2;382,68;5,23;1,73;86,33
Paralelo;2;4;205,52;2,38;3,22;80,38
Paralelo;2;8;178,52;21,95;3,70;46,27
Paralelo;2;16;179,07;10,53;3,69;23,06
Paralelo;2;32;217,93;21,50;3,03;9,47
Paralelo;2;64;305,24;21,30;2,16;3,38
